"기준일ID","시군구코드","시군구명","총생활인구수","내국인생활인구수","장기체류외국인인구수","단기체류외국인인구수","일최대인구수","일최소인구수","주간인구수(09~18)","야간인구수(19~08)","일최대이동인구수","서울외유입인구수","동일자치구행정동간이동인구수","자치구간이동인구수"
"20190208","11470","양천구","412458.94370","404428.25730","6581.92370","1448.76270","441516.89480","379007.42430","386521.22510","430985.88550","206711.00230","32856.72180","104961.56110","68892.71940"
"20190208","11500","강서구","576531.92350","557564.31820","10936.46900","8031.13630","609633.06340","544451.74470","550509.66590","595119.25040","277825.41370","68776.80070","139368.83810","69679.77490"
"20190208","11530","구로구","442158.60540","406190.08270","30590.46140","5378.06130","451887.52440","432099.09470","438544.12880","444740.37440","239391.59500","75696.62470","81587.98550","82106.98480"
"20190208","11545","금천구","256571.34750","235313.07420","18576.26940","2682.00380","283223.73050","233483.05510","279880.11490","239922.22790","177506.70410","64995.33460","51710.40220","60800.96730"
"20190208","11560","영등포구","547802.46070","496236.62860","43321.26640","8244.56560","626702.89410","468955.58030","612066.04180","501899.90270","401182.74070","107974.81820","98325.82380","194882.09870"
"20190208","11590","동작구","420513.74310","404302.88810","13810.20010","2400.65490","452099.26150","383812.15970","391342.83060","441350.10910","191071.54090","35998.89030","78486.67790","76585.97270"
"20190208","11620","관악구","522078.04210","495394.01930","23458.41250","3225.61020","580918.88710","455580.75510","467685.77160","560929.66390","237038.75480","38269.18490","131140.58600","67628.98390"
"20190208","11650","서초구","649756.05370","626447.03210","17575.61660","5733.40500","785173.77360","515643.94720","758811.98910","571858.95690","499061.52260","164646.97780","93389.61760","241024.92720"
"20190208","11680","강남구","911466.75510","871679.13790","24328.27590","15459.34140","1157221.95800","685040.20920","1109890.84520","769735.26210","743287.94090","232164.92730","136639.18650","374483.82710"
"20190208","11710","송파구","803970.44470","778832.06380","17405.93650","7732.44440","824684.93970","785646.22180","814939.95800","796135.07800","451357.40360","125315.69590","188049.57650","137992.13120"
"20190208","11740","강동구","502814.01910","490316.03890","11251.10360","1246.87660","535358.20580","465886.90630","473496.55990","523755.06140","250487.83410","51245.99460","147085.52990","52156.30960"
"20190207","11000","서울시","11436807.86550","10844564.22490","417681.57810","174562.06260","11873484.17320","10972268.91800","11772163.26070","11197268.29750","6747822.96520","1578000.68800","2412648.16400","2757174.11320"
