상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,상호명_소문자,브랜드명
25580127,스타벅스,까치산역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150054000,화곡1동,1150010300,화곡동,1150010300203430001,1,대지,343,1.0,서울특별시 강서구 화곡동 343-1,115004145018,서울특별시 강서구 강서로13길,3,,1150010300103430001000001,동진빌딩,서울특별시 강서구 강서로13길 3,157010,7774.0,,1,,126.846035970796,37.532285335238704,스타벅스,스타벅스
25576902,스타벅스올림픽평화의문점,올림픽평화의문점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11710,송파구,1171056200,방이2동,1171011100,방이동,1171011100201800008,1,대지,180,8.0,서울특별시 송파구 방이동 180-8,117102123002,서울특별시 송파구 위례성대로,38,,1171011100101800009016937,해태그린피아빌라트,서울특별시 송파구 위례성대로 38,138050,5627.0,,1,,127.11631677592301,37.5157850739286,스타벅스올림픽평화의문점,스타벅스
23456329,스타벅스,문래역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11560,영등포구,1156060500,문래동,1156012100,문래동3가,1156012100200550005,1,대지,55,5.0,서울특별시 영등포구 문래동3가 55-5,115603118004,서울특별시 영등포구 당산로,34,,1156012100100550005037427,로데오샵쇼핑몰,서울특별시 영등포구 당산로 34,150835,7297.0,,1,,126.89647871302,37.517449781640394,스타벅스,스타벅스
23455005,스타벅스,서강대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144060000,대흥동,1144011100,신수동,1144011100200630014,1,대지,63,14.0,서울특별시 마포구 신수동 63-14,114403005016,서울특별시 마포구 백범로,23,,1144011100100630014007662,거구장,서울특별시 마포구 백범로 23,121854,4108.0,,1,,126.937543279963,37.552426380667,스타벅스,스타벅스
25539473,스타벅스새문안로점,새문안로점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11110,종로구,1111053000,사직동,1111012000,신문로1가,1111012000201630000,1,대지,163,,서울특별시 종로구 신문로1가 163,111103005004,서울특별시 종로구 새문안로,92,,1111012000101630000031927,광화문오피시아,서울특별시 종로구 새문안로 92,110999,3186.0,,1,,126.974868861844,37.5697229770514,스타벅스새문안로점,스타벅스
20585052,스타벅스,영풍문고점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11110,종로구,1111061500,종로1.2.3.4가동,1111012300,서린동,1111012300200330000,1,대지,33,,서울특별시 종로구 서린동 33,111103100021,서울특별시 종로구 청계천로,41,,1111012300100330000015314,영풍빌딩,서울특별시 종로구 청계천로 41,110752,3188.0,,,,126.982159843769,37.5696599190406,스타벅스,스타벅스
5133712,스타벅스,코엑스몰점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168058000,삼성1동,1168010500,삼성동,1168010500201590000,1,대지,159,,서울특별시 강남구 삼성동 159,116802122002,서울특별시 강남구 영동대로,513,,1168010500101590000017116,코엑스인터콘티넨탈서울,서울특별시 강남구 영동대로 513,135798,6164.0,,1,,127.057100286394,37.5129393969289,스타벅스,스타벅스
20405237,스타벅스연신내역,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11380,은평구,1138057000,대조동,1138010600,대조동,1138010600201980010,1,대지,198,10.0,서울특별시 은평구 대조동 198-10,113803111006,서울특별시 은평구 연서로,216,,1138010600101980010000001,대조동아트캐슬주상복합,서울특별시 은평구 연서로 216,122842,3385.0,,1,,126.92010980759501,37.617800446052705,스타벅스연신내역,스타벅스
25331864,스타벅스연세백양로점,연세백양로점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11410,서대문구,1141058500,신촌동,1141011400,신촌동,1141011400201340000,1,대지,134,,서울특별시 서대문구 신촌동 134,114103112008,서울특별시 서대문구 연세로,50,,1141011300100540000024276,연세대학교,서울특별시 서대문구 연세로 50,120749,3722.0,,1,,126.94291681751601,37.5638006863037,스타벅스연세백양로점,스타벅스
20545007,스타벅스가락시장역점,가락시장역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11710,송파구,1171062000,가락본동,1171010700,가락동,1171010700200790000,1,대지,79,,서울특별시 송파구 가락동 79,117103123016,서울특별시 송파구 중대로,121,,1171010700100790000007502,송파롯데캐슬파인힐,서울특별시 송파구 중대로 121,138952,5718.0,,1,,127.121533304074,37.4944057821458,스타벅스가락시장역점,스타벅스
