"교유번호","명칭","파일경로","위도","경도"
"115","신도림역 12호선","도림천.kmz","37.5078324","126.8916714"
"116","박정희 대통령 흉상(문래공원)","도림천.kmz","37.5175032","126.8940329"
"117","박정희 대통령 흉상(문래공원) 인근","도림천.kmz","37.5116186","126.8897024"
"118","대림역 27호선","도림천.kmz","37.4927518","126.8969862"
"119","영남중학교 인근","도림천.kmz","37.4967103","126.8937188"
"120","구로디지털단지역 2호선","도림천.kmz","37.4851997","126.9008362"
"121","구로디지털단지역 인근","도림천.kmz","37.4855782","126.9007422"
"122","신림역 2호선","도림천.kmz","37.4843935","126.9296641"
"123","신림역 인근","도림천.kmz","37.4836649","126.9262395"
"124","동소문로2길 인근","성북천 길.kmz/임시 장소","37.5881301","127.0088053"
"125","성북교통정보센터 인근","성북천 길.kmz/임시 장소","37.5911613","127.0131664"
"126","보문역 지하철 6호선","성북천 길.kmz/임시 장소","37.5854024","127.0194257"
"127","안암동주민센터 인근","성북천 길.kmz/임시 장소","37.5839883","127.0215062"
"128","신설동역 지하철 1 2호선","성북천 길.kmz/임시 장소","37.5757991","127.0234569"
"129","동숭아트센터","성북천 길.kmz/임시 장소","37.5836067","127.0038687"
"130","선농단","성북천 길.kmz/임시 장소","37.581006","127.032492"
"131","쇳대박물관","성북천 길.kmz/임시 장소","37.5797738","127.0046473"
"132","해담는다리","불광천길.kmz","37.5824239","126.9086464"
"134","마포구청","불광천길.kmz","37.5660296","126.9012478"
"135","신사근린공원","불광천길.kmz","37.5924095","126.9111468"
"307","영등포아트홀","영등포동작구한강길.kmz","37.5263811","126.8997699"
"308","당산역 지하철 29호선","영등포동작구한강길.kmz","37.5347055","126.902572"
"300","선유도 인근","영등포동작구한강길.kmz","37.5428176","126.8962976"
"309","선유도역 지하철 9호선","영등포동작구한강길.kmz","37.5378461","126.8939197"
"310","대방역 지하철 1호선","영등포동작구한강길.kmz","37.5132828","126.9261543"
"311","마포역 지하철 5호선","용산한강길.kmz","37.5391171","126.9458321"
"312","한강시민공원 이촌지구 인근","용산한강길.kmz","37.5209652","126.9597875"
